,date,price,delta,volume
514,2019.01.07,2037.1,26.85,428010
515,2019.01.04,2010.25,16.55,403264
516,2019.01.03,1993.7,-16.3,424198
517,2019.01.02,2010.0,-31.04,321760
518,2018.12.28,2041.04,12.6,347842
519,2018.12.27,2028.44,0.43,390094
520,2018.12.26,2028.01,-27.0,314188
521,2018.12.24,2055.01,-6.48,280638
522,2018.12.21,2061.49,1.37,304921
523,2018.12.20,2060.12,-18.72,412812
524,2018.12.19,2078.84,16.73,412554
525,2018.12.18,2062.11,-8.98,423880
526,2018.12.17,2071.09,1.71,438220
527,2018.12.14,2069.38,-26.17,439541
528,2018.12.13,2095.55,12.98,368200
529,2018.12.12,2082.57,29.6,439402
530,2018.12.11,2052.97,-0.82,267011
531,2018.12.10,2053.79,-21.97,335952
532,2018.12.07,2075.76,7.07,363007
533,2018.12.06,2068.69,-32.62,528193
534,2018.12.05,2101.31,-13.04,484114
535,2018.12.04,2114.35,-17.58,498735
536,2018.12.03,2131.93,35.07,428908
537,2018.11.30,2096.86,-17.24,413390
538,2018.11.29,2114.1,5.88,300493
539,2018.11.28,2108.22,8.8,274540
540,2018.11.27,2099.42,16.4,235145
541,2018.11.26,2083.02,25.54,231575
542,2018.11.23,2057.48,-12.47,221467
543,2018.11.22,2069.95,-6.6,237048
544,2018.11.21,2076.55,-6.03,262007
545,2018.11.20,2082.58,-17.98,274836
546,2018.11.19,2100.56,8.16,268926
547,2018.11.16,2092.4,4.34,294134
548,2018.11.15,2088.06,20.01,346712
549,2018.11.14,2068.05,-3.18,332675
550,2018.11.13,2071.23,-9.21,376813
551,2018.11.12,2080.44,-5.65,291483
552,2018.11.09,2086.09,-6.54,292935
553,2018.11.08,2092.63,13.94,322591
554,2018.11.07,2078.69,-10.93,471029
555,2018.11.06,2089.62,12.7,307933
556,2018.11.05,2076.92,-19.08,353462
557,2018.11.02,2096.0,71.54,364081
558,2018.11.01,2024.46,-5.23,337981
559,2018.10.31,2029.69,15.0,366579
560,2018.10.30,2014.69,18.64,434359
561,2018.10.29,1996.05,-31.1,416016
562,2018.10.26,2027.15,-36.15,436042
563,2018.10.25,2063.3,-34.28,364818
564,2018.10.24,2097.58,-8.52,392945
565,2018.10.23,2106.1,-55.61,363224
566,2018.10.22,2161.71,5.45,303503
567,2018.10.19,2156.26,7.95,343657
568,2018.10.18,2148.31,-19.2,316734
569,2018.10.17,2167.51,22.39,266401
570,2018.10.16,2145.12,0.0,215108
571,2018.10.15,2145.12,-16.73,255858
572,2018.10.12,2161.85,32.18,288607
573,2018.10.11,2129.67,-98.94,404316
574,2018.10.10,2228.61,-25.22,348867
575,2018.10.08,2253.83,-13.69,209984
576,2018.10.05,2267.52,-6.97,276748
577,2018.10.04,2274.49,-35.08,304578
578,2018.10.02,2309.57,-29.31,281425
579,2018.10.01,2338.88,-4.19,272609
580,2018.09.28,2343.07,-12.36,311831
581,2018.09.27,2355.43,16.26,273887
582,2018.09.21,2339.17,15.72,306545
583,2018.09.20,2323.45,14.99,283961
584,2018.09.19,2308.46,-0.52,341743
585,2018.09.18,2308.98,5.97,301522
586,2018.09.17,2303.01,-15.24,339317
